date_variable,nhs_board_name,location_name,variable_1,variable_2,variable_3,variable_4,variable_5,variable_6
2016-03-06,NHS Dumfries & Galloway,NHS Dumfries & Galloway,124.8,247.2,367.2,528,618,734.4
2016-03-06,NHS Fife,NHS Fife,122.4,249.6,370.8,489.6,624,734.4
2016-03-06,NHS Forth Valley,NHS Forth Valley,92.7,183.6,280.8,367.2,459,556.2
2016-03-06,NHS Grampian,NHS Grampian,124.8,247.2,367.2,494.4,618,748.8
2016-03-06,NHS Greater Glasgow & Clyde,NHS Greater Glasgow & Clyde,99,187.2,278.1,374.4,468,550.8
2016-03-06,NHS Highland,NHS Highland,122.4,264,374.4,489.6,660,741.6
2016-03-06,NHS Lanarkshire,NHS Lanarkshire,92.7,183.6,297,370.8,459,561.6
2016-03-06,NHS Lothian,NHS Lothian,124.8,247.2,367.2,499.2,612,792
2016-03-06,NHS Orkney,NHS Orkney,91.8,187.2,278.1,396,463.5,550.8
2016-03-06,NHS Shetland,NHS Shetland,123.6,244.8,374.4,489.6,624,741.6
2016-03-06,NHS Tayside,NHS Tayside,93.6,185.4,275.4,370.8,459,561.6
2016-03-06,NHS Western Isles,NHS Western Isles,132,249.6,370.8,499.2,618,734.4
2016-03-06,NHSScotland,NHSScotland,122.4,264,374.4,489.6,624,741.6
2016-03-13,NHS Ayrshire & Arran,Location1,91.8,183.6,297,370.8,495,561.6
2016-03-13,NHS Ayrshire & Arran,Location2,123.6,244.8,367.2,499.2,612,792
2016-03-13,NHS Borders,Location3,93.6,185.4,275.4,396,463.5,550.8
2016-03-13,NHS Dumfries & Galloway,Location4,122.4,249.6,370.8,489.6,624,734.4
2016-03-13,NHS Dumfries & Galloway,Location5,92.7,183.6,280.8,367.2,459,556.2
2016-03-13,NHS Fife,Location6,124.8,247.2,367.2,494.4,618,748.8
2016-03-13,NHS Forth Valley,Location7,99,187.2,278.1,374.4,468,550.8
2016-03-13,NHS Grampian,Location8,122.4,264,374.4,489.6,660,741.6
2016-03-13,NHS Grampian,Location9,92.7,183.6,297,370.8,459,561.6
2016-03-13,NHS Grampian,Location10,124.8,247.2,367.2,499.2,612,792
2016-03-13,NHS Greater Glasgow & Clyde,Location11,122.4,249.6,370.8,528,618,734.4
2016-03-13,NHS Greater Glasgow & Clyde,Location12,92.7,183.6,280.8,367.2,468,556.2
2016-03-13,NHS Greater Glasgow & Clyde,Location13,124.8,247.2,367.2,494.4,612,748.8
2016-03-13,NHS Greater Glasgow & Clyde,Location14,99,187.2,278.1,374.4,463.5,550.8
2016-03-13,NHS Greater Glasgow & Clyde,Location15,122.4,264,374.4,489.6,624,741.6
2016-03-13,NHS Highland,Location16,91.8,183.6,297,370.8,495,561.6
2016-03-13,NHS Highland,Location17,123.6,244.8,367.2,499.2,612,792
2016-03-13,NHS Highland,Location18,93.6,185.4,275.4,396,463.5,550.8
2016-03-13,NHS Highland,Location19,122.4,249.6,370.8,489.6,624,734.4
2016-03-13,NHS Lanarkshire,Location20,92.7,183.6,280.8,367.2,459,556.2
2016-03-13,NHS Lanarkshire,Location21,124.8,247.2,367.2,494.4,618,748.8
2016-03-13,NHS Lanarkshire,Location22,132,249.6,370.8,499.2,624,734.4
2016-03-13,NHS Lothian,Location23,91.8,198,280.8,367.2,495,556.2
2016-03-13,NHS Lothian,Location24,123.6,244.8,396,494.4,612,748.8
2016-03-13,NHS Lothian,Location25,93.6,185.4,275.4,374.4,459,594
2016-03-13,NHS Orkney,Location26,122.4,249.6,370.8,528,618,734.4
2016-03-13,NHS Shetland,Location27,92.7,183.6,280.8,367.2,468,556.2
2016-03-13,NHS Tayside,Location29,99,187.2,278.1,374.4,463.5,550.8
2016-03-13,NHS Western Isles,Location30,122.4,264,374.4,489.6,624,741.6
2016-03-13,NHS Ayrshire & Arran,NHS Ayrshire & Arran,91.8,183.6,297,370.8,495,561.6
2016-03-13,NHS Borders,NHS Borders,123.6,244.8,367.2,499.2,612,792
2016-03-13,NHS Dumfries & Galloway,NHS Dumfries & Galloway,124.8,247.2,367.2,528,618,734.4
2016-03-13,NHS Fife,NHS Fife,91.8,187.2,278.1,367.2,468,550.8
2016-03-13,NHS Forth Valley,NHS Forth Valley,123.6,244.8,374.4,489.6,612,741.6
2016-03-13,NHS Grampian,NHS Grampian,93.6,185.4,275.4,370.8,463.5,561.6
2016-03-13,NHS Greater Glasgow & Clyde,NHS Greater Glasgow & Clyde,132,249.6,370.8,499.2,624,734.4
2016-03-13,NHS Highland,NHS Highland,91.8,198,280.8,367.2,495,556.2
2016-03-13,NHS Lanarkshire,NHS Lanarkshire,123.6,244.8,396,494.4,612,748.8
2016-03-13,NHS Lothian,NHS Lothian,93.6,185.4,275.4,374.4,459,594
2016-03-13,NHS Orkney,NHS Orkney,122.4,249.6,370.8,528,618,734.4
2016-03-13,NHS Shetland,NHS Shetland,92.7,183.6,280.8,367.2,468,556.2
2016-03-13,NHS Tayside,NHS Tayside,124.8,247.2,367.2,494.4,612,748.8
2016-03-13,NHS Western Isles,NHS Western Isles,132,249.6,370.8,499.2,618,734.4
2016-03-13,NHSScotland,NHSScotland,91.8,198,280.8,367.2,468,556.2
2016-03-20,NHS Ayrshire & Arran,Location1,122.4,244.8,396,494.4,660,748.8
2016-03-20,NHS Ayrshire & Arran,Location2,92.7,183.6,275.4,374.4,459,594
2016-03-20,NHS Borders,Location3,124.8,247.2,367.2,528,618,734.4
2016-03-20,NHS Dumfries & Galloway,Location4,91.8,187.2,278.1,367.2,468,550.8
2016-03-20,NHS Dumfries & Galloway,Location5,123.6,244.8,374.4,489.6,612,741.6
2016-03-20,NHS Fife,Location6,93.6,185.4,275.4,370.8,463.5,561.6
2016-03-20,NHS Forth Valley,Location7,132,249.6,370.8,499.2,624,734.4
2016-03-20,NHS Grampian,Location8,91.8,198,280.8,367.2,495,556.2
2016-03-20,NHS Grampian,Location9,123.6,244.8,396,494.4,612,748.8
2016-03-20,NHS Grampian,Location10,124.8,247.2,367.2,499.2,612,792
2016-03-20,NHS Greater Glasgow & Clyde,Location11,91.8,187.2,278.1,396,463.5,550.8
2016-03-20,NHS Greater Glasgow & Clyde,Location12,123.6,244.8,374.4,489.6,624,741.6
2016-03-20,NHS Greater Glasgow & Clyde,Location13,93.6,185.4,275.4,370.8,459,561.6
2016-03-20,NHS Greater Glasgow & Clyde,Location14,132,249.6,370.8,499.2,618,734.4
2016-03-20,NHS Greater Glasgow & Clyde,Location15,91.8,198,280.8,367.2,468,556.2
2016-03-20,NHS Highland,Location16,122.4,244.8,396,494.4,660,748.8
2016-03-20,NHS Highland,Location17,92.7,183.6,275.4,374.4,459,594
2016-03-20,NHS Highland,Location18,124.8,247.2,367.2,528,618,734.4
2016-03-20,NHS Highland,Location19,91.8,187.2,278.1,367.2,468,550.8
2016-03-20,NHS Lanarkshire,Location20,123.6,244.8,374.4,489.6,612,741.6
2016-03-20,NHS Lanarkshire,Location21,124.8,247.2,367.2,494.4,618,748.8
2016-03-20,NHS Lanarkshire,Location22,99,187.2,278.1,374.4,468,550.8
2016-03-20,NHS Lothian,Location23,122.4,264,374.4,489.6,660,741.6
2016-03-20,NHS Lothian,Location24,92.7,183.6,297,370.8,459,561.6
2016-03-20,NHS Lothian,Location25,124.8,247.2,367.2,499.2,612,792
2016-03-20,NHS Orkney,Location26,91.8,187.2,278.1,396,463.5,550.8
2016-03-20,NHS Shetland,Location27,123.6,244.8,374.4,489.6,624,741.6
2016-03-20,NHS Tayside,Location29,132,249.6,370.8,499.2,618,734.4
2016-03-20,NHS Western Isles,Location30,91.8,198,280.8,367.2,468,556.2
2016-03-20,NHS Ayrshire & Arran,NHS Ayrshire & Arran,122.4,244.8,396,494.4,660,748.8
2016-03-20,NHS Borders,NHS Borders,123.6,244.8,367.2,499.2,612,792
2016-03-20,NHS Dumfries & Galloway,NHS Dumfries & Galloway,93.6,185.4,275.4,396,463.5,550.8
2016-03-20,NHS Fife,NHS Fife,122.4,249.6,370.8,489.6,624,734.4
2016-03-20,NHS Forth Valley,NHS Forth Valley,92.7,183.6,280.8,367.2,459,556.2
2016-03-20,NHS Grampian,NHS Grampian,124.8,247.2,367.2,494.4,618,748.8
2016-03-20,NHS Greater Glasgow & Clyde,NHS Greater Glasgow & Clyde,99,187.2,278.1,374.4,468,550.8
2016-03-20,NHS Highland,NHS Highland,122.4,264,374.4,489.6,660,741.6
2016-03-20,NHS Lanarkshire,NHS Lanarkshire,92.7,183.6,297,370.8,459,561.6
2016-03-20,NHS Lothian,NHS Lothian,124.8,247.2,367.2,499.2,612,792
2016-03-20,NHS Orkney,NHS Orkney,91.8,187.2,278.1,396,463.5,550.8
2016-03-20,NHS Shetland,NHS Shetland,123.6,244.8,374.4,489.6,624,741.6
2016-03-20,NHS Tayside,NHS Tayside,124.8,247.2,367.2,494.4,612,748.8
2016-03-20,NHS Western Isles,NHS Western Isles,99,187.2,278.1,374.4,463.5,550.8
2016-03-20,NHSScotland,NHSScotland,122.4,264,374.4,489.6,624,741.6
2016-03-27,NHS Ayrshire & Arran,Location1,91.8,183.6,297,370.8,495,561.6
2016-03-27,NHS Ayrshire & Arran,Location2,123.6,244.8,367.2,499.2,612,792
2016-03-27,NHS Borders,Location3,93.6,185.4,275.4,396,463.5,550.8
2016-03-27,NHS Dumfries & Galloway,Location4,122.4,249.6,370.8,489.6,624,734.4
2016-03-27,NHS Dumfries & Galloway,Location5,92.7,183.6,280.8,367.2,459,556.2
2016-03-27,NHS Fife,Location6,124.8,247.2,367.2,494.4,618,748.8
2016-03-27,NHS Forth Valley,Location7,99,187.2,278.1,374.4,468,550.8
2016-03-27,NHS Grampian,Location8,122.4,264,374.4,489.6,660,741.6
2016-03-27,NHS Grampian,Location9,123.6,244.8,396,494.4,612,748.8
2016-03-27,NHS Grampian,Location10,93.6,185.4,275.4,374.4,459,594
2016-03-27,NHS Greater Glasgow & Clyde,Location11,122.4,249.6,370.8,528,618,734.4
2016-03-27,NHS Greater Glasgow & Clyde,Location12,92.7,183.6,280.8,367.2,468,556.2
2016-03-27,NHS Greater Glasgow & Clyde,Location13,124.8,247.2,367.2,494.4,612,748.8
2016-03-27,NHS Greater Glasgow & Clyde,Location14,99,187.2,278.1,374.4,463.5,550.8
2016-03-27,NHS Greater Glasgow & Clyde,Location15,122.4,264,374.4,489.6,624,741.6
2016-03-27,NHS Highland,Location16,91.8,183.6,297,370.8,495,561.6
2016-03-27,NHS Highland,Location17,123.6,244.8,367.2,499.2,612,792
2016-03-27,NHS Highland,Location18,93.6,185.4,275.4,396,463.5,550.8
2016-03-27,NHS Highland,Location19,122.4,249.6,370.8,489.6,624,734.4
2016-03-27,NHS Lanarkshire,Location20,123.6,244.8,374.4,489.6,612,741.6
2016-03-27,NHS Lanarkshire,Location21,93.6,185.4,275.4,370.8,463.5,561.6
2016-03-27,NHS Lanarkshire,Location22,132,249.6,370.8,499.2,624,734.4
2016-03-27,NHS Lothian,Location23,91.8,198,280.8,367.2,495,556.2
2016-03-27,NHS Lothian,Location24,123.6,244.8,396,494.4,612,748.8
2016-03-27,NHS Lothian,Location25,93.6,185.4,275.4,374.4,459,594
2016-03-27,NHS Orkney,Location26,122.4,249.6,370.8,528,618,734.4
2016-03-27,NHS Shetland,Location27,92.7,183.6,280.8,367.2,468,556.2
2016-03-27,NHS Tayside,Location29,99,187.2,278.1,374.4,463.5,550.8
2016-03-27,NHS Western Isles,Location30,122.4,264,374.4,489.6,624,741.6
2016-03-27,NHS Ayrshire & Arran,NHS Ayrshire & Arran,122.4,244.8,396,494.4,660,748.8
2016-03-27,NHS Borders,NHS Borders,92.7,183.6,275.4,374.4,459,594
2016-03-27,NHS Dumfries & Galloway,NHS Dumfries & Galloway,124.8,247.2,367.2,528,618,734.4
2016-03-27,NHS Fife,NHS Fife,91.8,187.2,278.1,367.2,468,550.8
2016-03-27,NHS Forth Valley,NHS Forth Valley,123.6,244.8,374.4,489.6,612,741.6
2016-03-27,NHS Grampian,NHS Grampian,93.6,185.4,275.4,370.8,463.5,561.6
2016-03-27,NHS Greater Glasgow & Clyde,NHS Greater Glasgow & Clyde,132,249.6,370.8,499.2,624,734.4
2016-03-27,NHS Highland,NHS Highland,91.8,198,280.8,367.2,495,556.2
2016-03-27,NHS Lanarkshire,NHS Lanarkshire,123.6,244.8,396,494.4,612,748.8
2016-03-27,NHS Lothian,NHS Lothian,93.6,185.4,275.4,374.4,459,594
2016-03-27,NHS Orkney,NHS Orkney,122.4,249.6,370.8,528,618,734.4
2016-03-27,NHS Shetland,NHS Shetland,123.6,244.8,374.4,489.6,624,741.6
2016-03-27,NHS Tayside,NHS Tayside,93.6,185.4,275.4,370.8,459,561.6
2016-03-27,NHS Western Isles,NHS Western Isles,132,249.6,370.8,499.2,618,734.4
2016-03-27,NHSScotland,NHSScotland,91.8,198,280.8,367.2,468,556.2
2016-04-03,NHS Ayrshire & Arran,Location1,122.4,244.8,396,494.4,660,748.8
2016-04-03,NHS Ayrshire & Arran,Location2,92.7,183.6,275.4,374.4,459,594
2016-04-03,NHS Borders,Location3,124.8,247.2,367.2,528,618,734.4
2016-04-03,NHS Dumfries & Galloway,Location4,91.8,187.2,278.1,367.2,468,550.8
2016-04-03,NHS Dumfries & Galloway,Location5,123.6,244.8,374.4,489.6,612,741.6
2016-04-03,NHS Fife,Location6,93.6,185.4,275.4,370.8,463.5,561.6
2016-04-03,NHS Forth Valley,Location7,132,249.6,370.8,499.2,624,734.4
2016-04-03,NHS Grampian,Location8,122.4,264,374.4,489.6,660,741.6
2016-04-03,NHS Grampian,Location9,92.7,183.6,297,370.8,459,561.6
2016-04-03,NHS Grampian,Location10,124.8,247.2,367.2,499.2,612,792
2016-04-03,NHS Greater Glasgow & Clyde,Location11,91.8,187.2,278.1,396,463.5,550.8
2016-04-03,NHS Greater Glasgow & Clyde,Location12,123.6,244.8,374.4,489.6,624,741.6
2016-04-03,NHS Greater Glasgow & Clyde,Location13,93.6,185.4,275.4,370.8,459,561.6
2016-04-03,NHS Greater Glasgow & Clyde,Location14,132,249.6,370.8,499.2,618,734.4
2016-04-03,NHS Greater Glasgow & Clyde,Location15,91.8,198,280.8,367.2,468,556.2
2016-04-03,NHS Highland,Location16,122.4,244.8,396,494.4,660,748.8
2016-04-03,NHS Highland,Location17,92.7,183.6,275.4,374.4,459,594
2016-04-03,NHS Highland,Location18,124.8,247.2,367.2,528,618,734.4
2016-04-03,NHS Highland,Location19,122.4,249.6,370.8,489.6,624,734.4
2016-04-03,NHS Lanarkshire,Location20,92.7,183.6,280.8,367.2,459,556.2
2016-04-03,NHS Lanarkshire,Location21,124.8,247.2,367.2,494.4,618,748.8
2016-04-03,NHS Lanarkshire,Location22,99,187.2,278.1,374.4,468,550.8
2016-04-03,NHS Lothian,Location23,122.4,264,374.4,489.6,660,741.6
2016-04-03,NHS Lothian,Location24,92.7,183.6,297,370.8,459,561.6
2016-04-03,NHS Lothian,Location25,124.8,247.2,367.2,499.2,612,792
2016-04-03,NHS Orkney,Location26,91.8,187.2,278.1,396,463.5,550.8
2016-04-03,NHS Shetland,Location27,123.6,244.8,374.4,489.6,624,741.6
2016-04-03,NHS Tayside,Location29,132,249.6,370.8,499.2,618,734.4
2016-04-03,NHS Western Isles,Location30,122.4,264,374.4,489.6,624,741.6
2016-04-03,NHS Ayrshire & Arran,NHS Ayrshire & Arran,91.8,183.6,297,370.8,495,561.6
2016-04-03,NHS Borders,NHS Borders,123.6,244.8,367.2,499.2,612,792
2016-04-03,NHS Dumfries & Galloway,NHS Dumfries & Galloway,93.6,185.4,275.4,396,463.5,550.8
2016-04-03,NHS Fife,NHS Fife,122.4,249.6,370.8,489.6,624,734.4
2016-04-03,NHS Forth Valley,NHS Forth Valley,92.7,183.6,280.8,367.2,459,556.2
2016-04-03,NHS Grampian,NHS Grampian,124.8,247.2,367.2,494.4,618,748.8
2016-04-03,NHS Greater Glasgow & Clyde,NHS Greater Glasgow & Clyde,99,187.2,278.1,374.4,468,550.8
2016-04-03,NHS Highland,NHS Highland,122.4,264,374.4,489.6,660,741.6
2016-04-03,NHS Lanarkshire,NHS Lanarkshire,92.7,183.6,297,370.8,459,561.6
2016-04-03,NHS Lothian,NHS Lothian,124.8,247.2,367.2,499.2,612,792
2016-04-03,NHS Orkney,NHS Orkney,122.4,249.6,370.8,528,618,734.4
2016-04-03,NHS Shetland,NHS Shetland,92.7,183.6,280.8,367.2,468,556.2
2016-04-03,NHS Tayside,NHS Tayside,124.8,247.2,367.2,494.4,612,748.8
2016-04-03,NHS Western Isles,NHS Western Isles,99,187.2,278.1,374.4,463.5,550.8
2016-04-03,NHSScotland,NHSScotland,122.4,264,374.4,489.6,624,741.6
2016-04-10,NHS Ayrshire & Arran,Location1,91.8,183.6,297,370.8,495,561.6
2016-04-10,NHS Ayrshire & Arran,Location2,123.6,244.8,367.2,499.2,612,792
2016-04-10,NHS Borders,Location3,93.6,185.4,275.4,396,463.5,550.8
2016-04-10,NHS Dumfries & Galloway,Location4,122.4,249.6,370.8,489.6,624,734.4
2016-04-10,NHS Dumfries & Galloway,Location5,92.7,183.6,280.8,367.2,459,556.2
2016-04-10,NHS Fife,Location6,124.8,247.2,367.2,494.4,618,748.8
2016-04-10,NHS Forth Valley,Location7,132,249.6,370.8,499.2,624,734.4
2016-04-10,NHS Grampian,Location8,91.8,198,280.8,367.2,495,556.2
2016-04-10,NHS Grampian,Location9,123.6,244.8,396,494.4,612,748.8
2016-04-10,NHS Grampian,Location10,93.6,185.4,275.4,374.4,459,594
2016-04-10,NHS Greater Glasgow & Clyde,Location11,122.4,249.6,370.8,528,618,734.4
2016-04-10,NHS Greater Glasgow & Clyde,Location12,92.7,183.6,280.8,367.2,468,556.2
2016-04-10,NHS Greater Glasgow & Clyde,Location13,124.8,247.2,367.2,494.4,612,748.8
2016-04-10,NHS Greater Glasgow & Clyde,Location14,99,187.2,278.1,374.4,463.5,550.8
2016-04-10,NHS Greater Glasgow & Clyde,Location15,122.4,264,374.4,489.6,624,741.6
2016-04-10,NHS Highland,Location16,91.8,183.6,297,370.8,495,561.6
2016-04-10,NHS Highland,Location17,123.6,244.8,367.2,499.2,612,792
2016-04-10,NHS Highland,Location18,124.8,247.2,367.2,528,618,734.4
2016-04-10,NHS Highland,Location19,91.8,187.2,278.1,367.2,468,550.8
2016-04-10,NHS Lanarkshire,Location20,123.6,244.8,374.4,489.6,612,741.6
2016-04-10,NHS Lanarkshire,Location21,93.6,185.4,275.4,370.8,463.5,561.6
2016-04-10,NHS Lanarkshire,Location22,132,249.6,370.8,499.2,624,734.4
2016-04-10,NHS Lothian,Location23,91.8,198,280.8,367.2,495,556.2
2016-04-10,NHS Lothian,Location24,123.6,244.8,396,494.4,612,748.8
2016-04-10,NHS Lothian,Location25,93.6,185.4,275.4,374.4,459,594
2016-04-10,NHS Orkney,Location26,122.4,249.6,370.8,528,618,734.4
2016-04-10,NHS Shetland,Location27,92.7,183.6,280.8,367.2,468,556.2
2016-04-10,NHS Tayside,Location28,124.8,247.2,367.2,494.4,612,748.8
2016-04-10,NHS Tayside,Location29,132,249.6,370.8,499.2,618,734.4
2016-04-10,NHS Western Isles,Location30,91.8,198,280.8,367.2,468,556.2
2016-04-10,NHS Ayrshire & Arran,NHS Ayrshire & Arran,122.4,244.8,396,494.4,660,748.8
2016-04-10,NHS Borders,NHS Borders,92.7,183.6,275.4,374.4,459,594
2016-04-10,NHS Dumfries & Galloway,NHS Dumfries & Galloway,124.8,247.2,367.2,528,618,734.4
2016-04-10,NHS Fife,NHS Fife,91.8,187.2,278.1,367.2,468,550.8
2016-04-10,NHS Forth Valley,NHS Forth Valley,123.6,244.8,374.4,489.6,612,741.6
2016-04-10,NHS Grampian,NHS Grampian,93.6,185.4,275.4,370.8,463.5,561.6
2016-04-10,NHS Greater Glasgow & Clyde,NHS Greater Glasgow & Clyde,132,249.6,370.8,499.2,624,734.4
2016-04-10,NHS Highland,NHS Highland,91.8,198,280.8,367.2,495,556.2
2016-04-10,NHS Lanarkshire,NHS Lanarkshire,123.6,244.8,396,494.4,612,748.8
2016-04-10,NHS Lothian,NHS Lothian,124.8,247.2,367.2,499.2,612,792
2016-04-10,NHS Orkney,NHS Orkney,91.8,187.2,278.1,396,463.5,550.8
2016-04-10,NHS Shetland,NHS Shetland,123.6,244.8,374.4,489.6,624,741.6
2016-04-10,NHS Tayside,NHS Tayside,93.6,185.4,275.4,370.8,459,561.6
2016-04-10,NHS Western Isles,NHS Western Isles,132,249.6,370.8,499.2,618,734.4
2016-04-10,NHSScotland,NHSScotland,91.8,198,280.8,367.2,468,556.2
2016-04-17,NHS Ayrshire & Arran,Location1,122.4,244.8,396,494.4,660,748.8
2016-04-17,NHS Ayrshire & Arran,Location2,92.7,183.6,275.4,374.4,459,594
2016-04-17,NHS Borders,Location3,124.8,247.2,367.2,528,618,734.4
2016-04-17,NHS Dumfries & Galloway,Location4,91.8,187.2,278.1,367.2,468,550.8
2016-04-17,NHS Dumfries & Galloway,Location5,123.6,244.8,374.4,489.6,612,741.6
2016-04-17,NHS Fife,Location6,124.8,247.2,367.2,494.4,618,748.8
2016-04-17,NHS Forth Valley,Location7,99,187.2,278.1,374.4,468,550.8
2016-04-17,NHS Grampian,Location8,122.4,264,374.4,489.6,660,741.6
2016-04-17,NHS Grampian,Location9,92.7,183.6,297,370.8,459,561.6
2016-04-17,NHS Grampian,Location10,124.8,247.2,367.2,499.2,612,792
2016-04-17,NHS Greater Glasgow & Clyde,Location11,91.8,187.2,278.1,396,463.5,550.8
2016-04-17,NHS Greater Glasgow & Clyde,Location12,123.6,244.8,374.4,489.6,624,741.6
2016-04-17,NHS Greater Glasgow & Clyde,Location13,93.6,185.4,275.4,370.8,459,561.6
2016-04-17,NHS Greater Glasgow & Clyde,Location14,132,249.6,370.8,499.2,618,734.4
2016-04-17,NHS Greater Glasgow & Clyde,Location15,91.8,198,280.8,367.2,468,556.2
2016-04-17,NHS Highland,Location16,122.4,244.8,396,494.4,660,748.8
2016-04-17,NHS Highland,Location17,123.6,244.8,367.2,499.2,612,792
2016-04-17,NHS Highland,Location18,93.6,185.4,275.4,396,463.5,550.8
2016-04-17,NHS Highland,Location19,122.4,249.6,370.8,489.6,624,734.4
2016-04-17,NHS Lanarkshire,Location20,92.7,183.6,280.8,367.2,459,556.2
2016-04-17,NHS Lanarkshire,Location21,124.8,247.2,367.2,494.4,618,748.8
2016-04-17,NHS Lanarkshire,Location22,99,187.2,278.1,374.4,468,550.8
2016-04-17,NHS Lothian,Location23,122.4,264,374.4,489.6,660,741.6
2016-04-17,NHS Lothian,Location24,92.7,183.6,297,370.8,459,561.6
2016-04-17,NHS Lothian,Location25,124.8,247.2,367.2,499.2,612,792
2016-04-17,NHS Orkney,Location26,91.8,187.2,278.1,396,463.5,550.8
2016-04-17,NHS Shetland,Location27,123.6,244.8,374.4,489.6,624,741.6
2016-04-17,NHS Tayside,Location28,124.8,247.2,367.2,494.4,612,748.8
2016-04-17,NHS Tayside,Location29,99,187.2,278.1,374.4,463.5,550.8
2016-04-17,NHS Western Isles,Location30,122.4,264,374.4,489.6,624,741.6
2016-04-17,NHS Ayrshire & Arran,NHS Ayrshire & Arran,91.8,183.6,297,370.8,495,561.6
2016-04-17,NHS Borders,NHS Borders,123.6,244.8,367.2,499.2,612,792
2016-04-17,NHS Dumfries & Galloway,NHS Dumfries & Galloway,93.6,185.4,275.4,396,463.5,550.8
2016-04-17,NHS Fife,NHS Fife,122.4,249.6,370.8,489.6,624,734.4
2016-04-17,NHS Forth Valley,NHS Forth Valley,92.7,183.6,280.8,367.2,459,556.2
2016-04-17,NHS Grampian,NHS Grampian,124.8,247.2,367.2,494.4,618,748.8
2016-04-17,NHS Greater Glasgow & Clyde,NHS Greater Glasgow & Clyde,99,187.2,278.1,374.4,468,550.8
2016-04-17,NHS Highland,NHS Highland,122.4,264,374.4,489.6,660,741.6
2016-04-17,NHS Lanarkshire,NHS Lanarkshire,123.6,244.8,396,494.4,612,748.8
2016-04-17,NHS Lothian,NHS Lothian,93.6,185.4,275.4,374.4,459,594
2016-04-17,NHS Orkney,NHS Orkney,122.4,249.6,370.8,528,618,734.4
2016-04-17,NHS Shetland,NHS Shetland,92.7,183.6,280.8,367.2,468,556.2
2016-04-17,NHS Tayside,NHS Tayside,124.8,247.2,367.2,494.4,612,748.8
2016-04-17,NHS Western Isles,NHS Western Isles,99,187.2,278.1,374.4,463.5,550.8
2016-04-17,NHSScotland,NHSScotland,122.4,264,374.4,489.6,624,741.6
2016-04-24,NHS Ayrshire & Arran,Location1,91.8,183.6,297,370.8,495,561.6
2016-04-24,NHS Ayrshire & Arran,Location2,123.6,244.8,367.2,499.2,612,792
2016-04-24,NHS Borders,Location3,93.6,185.4,275.4,396,463.5,550.8
2016-04-24,NHS Dumfries & Galloway,Location4,122.4,249.6,370.8,489.6,624,734.4
2016-04-24,NHS Dumfries & Galloway,Location5,123.6,244.8,374.4,489.6,612,741.6
2016-04-24,NHS Fife,Location6,93.6,185.4,275.4,370.8,463.5,561.6
